Code,Name,Geography,Metric,Category,Waiting Bands,Count
ENG,ENGLAND,ENGLAND,Age,0-18 Years,Unknown Clock Start,620
ENG,ENGLAND,ENGLAND,Age,0-18 Years,01 To 18 Weeks,466235
ENG,ENGLAND,ENGLAND,Age,0-18 Years,18 To 52 Weeks,286595
ENG,ENGLAND,ENGLAND,Age,0-18 Years,Over 52 Weeks,23590
ENG,ENGLAND,ENGLAND,Age,0-18 Years,Total,777040
ENG,ENGLAND,ENGLAND,Age,19-64 Years,Unknown Clock Start,3955
ENG,ENGLAND,ENGLAND,Age,19-64 Years,01 To 18 Weeks,2342825
ENG,ENGLAND,ENGLAND,Age,19-64 Years,18 To 52 Weeks,1570720
ENG,ENGLAND,ENGLAND,Age,19-64 Years,Over 52 Weeks,121865
ENG,ENGLAND,ENGLAND,Age,19-64 Years,Total,4039360
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,Unknown Clock Start,2565
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,01 To 18 Weeks,1503410
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,18 To 52 Weeks,820010
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,Over 52 Weeks,58730
ENG,ENGLAND,ENGLAND,Age,Over 65 Years,Total,2384715
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,Unknown Clock Start,90
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,01 To 18 Weeks,165035
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,18 To 52 Weeks,80530
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,Over 52 Weeks,5265
ENG,ENGLAND,ENGLAND,Ethnicity,99: Not known,Total,250920
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,Unknown Clock Start,5560
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,01 To 18 Weeks,3070685
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,18 To 52 Weeks,1874435
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,Over 52 Weeks,144575
ENG,ENGLAND,ENGLAND,Ethnicity,A: British,Total,5095255
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,Unknown Clock Start,45
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,01 To 18 Weeks,26180
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,18 To 52 Weeks,15795
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,Over 52 Weeks,1095
ENG,ENGLAND,ENGLAND,Ethnicity,B: Irish,Total,43115
ENG,ENGLAND,ENGLAND,Ethnicity,C: Any other white background,Unknown Clock Start,410
