Treatment Function Code,Metric,Category,Waiting Bands,Count
Cardiology Service,Age,0-18 Years,Unknown Clock Start,*
Cardiology Service,Age,0-18 Years,01 To 18 Weeks,4055
Cardiology Service,Age,0-18 Years,18 To 52 Weeks,2935
Cardiology Service,Age,0-18 Years,Over 52 Weeks,145
Cardiology Service,Age,0-18 Years,Total,7140
Cardiology Service,Age,19-64 Years,Unknown Clock Start,65
Cardiology Service,Age,19-64 Years,01 To 18 Weeks,113530
Cardiology Service,Age,19-64 Years,18 To 52 Weeks,76755
Cardiology Service,Age,19-64 Years,Over 52 Weeks,4245
Cardiology Service,Age,19-64 Years,Total,194590
Cardiology Service,Age,Over 65 Years,Unknown Clock Start,95
Cardiology Service,Age,Over 65 Years,01 To 18 Weeks,120435
Cardiology Service,Age,Over 65 Years,18 To 52 Weeks,68255
Cardiology Service,Age,Over 65 Years,Over 52 Weeks,3425
Cardiology Service,Age,Over 65 Years,Total,192210
Cardiology Service,Ethnicity,99: Not known,Unknown Clock Start,*
Cardiology Service,Ethnicity,99: Not known,01 To 18 Weeks,10220
Cardiology Service,Ethnicity,99: Not known,18 To 52 Weeks,4830
Cardiology Service,Ethnicity,99: Not known,Over 52 Weeks,185
Cardiology Service,Ethnicity,99: Not known,Total,15240
Cardiology Service,Ethnicity,A: British,Unknown Clock Start,130
Cardiology Service,Ethnicity,A: British,01 To 18 Weeks,173880
Cardiology Service,Ethnicity,A: British,18 To 52 Weeks,106175
Cardiology Service,Ethnicity,A: British,Over 52 Weeks,5675
Cardiology Service,Ethnicity,A: British,Total,285860
Cardiology Service,Ethnicity,B: Irish,Unknown Clock Start,*
Cardiology Service,Ethnicity,B: Irish,01 To 18 Weeks,1745
Cardiology Service,Ethnicity,B: Irish,18 To 52 Weeks,1080
Cardiology Service,Ethnicity,B: Irish,Over 52 Weeks,45
Cardiology Service,Ethnicity,B: Irish,Total,2875
Cardiology Service,Ethnicity,C: Any other white background,Unknown Clock Start,10
Cardiology Service,Ethnicity,C: Any other white background,01 To 18 Weeks,13840
Cardiology Service,Ethnicity,C: Any other white background,18 To 52 Weeks,8900
Cardiology Service,Ethnicity,C: Any other white background,Over 52 Weeks,390
Cardiology Service,Ethnicity,C: Any other white background,Total,23140
Cardiology Service,Ethnicity,D: White and Black Caribbean,Unknown Clock Start,*
Cardiology Service,Ethnicity,D: White and Black Caribbean,01 To 18 Weeks,615
Cardiology Service,Ethnicity,D: White and Black Caribbean,18 To 52 Weeks,430
Cardiology Service,Ethnicity,D: White and Black Caribbean,Over 52 Weeks,20
Cardiology Service,Ethnicity,D: White and Black Caribbean,Total,1065
Cardiology Service,Ethnicity,E: White and Black African,01 To 18 Weeks,395
Cardiology Service,Ethnicity,E: White and Black African,18 To 52 Weeks,255
Cardiology Service,Ethnicity,E: White and Black African,Over 52 Weeks,10
Cardiology Service,Ethnicity,E: White and Black African,Total,665
Cardiology Service,Ethnicity,F: White and Asian,01 To 18 Weeks,475
Cardiology Service,Ethnicity,F: White and Asian,18 To 52 Weeks,310
Cardiology Service,Ethnicity,F: White and Asian,Over 52 Weeks,20
Cardiology Service,Ethnicity,F: White and Asian,Total,810
Cardiology Service,Ethnicity,G: Any other mixed background,Unknown Clock Start,*
Cardiology Service,Ethnicity,G: Any other mixed background,01 To 18 Weeks,1175
Cardiology Service,Ethnicity,G: Any other mixed background,18 To 52 Weeks,785
Cardiology Service,Ethnicity,G: Any other mixed background,Over 52 Weeks,45
Cardiology Service,Ethnicity,G: Any other mixed background,Total,2005
Cardiology Service,Ethnicity,H: Indian,01 To 18 Weeks,6920
Cardiology Service,Ethnicity,H: Indian,18 To 52 Weeks,4465
Cardiology Service,Ethnicity,H: Indian,Over 52 Weeks,320
Cardiology Service,Ethnicity,H: Indian,Total,11705
Cardiology Service,Ethnicity,J: Pakistani,Unknown Clock Start,*
Cardiology Service,Ethnicity,J: Pakistani,01 To 18 Weeks,4970
Cardiology Service,Ethnicity,J: Pakistani,18 To 52 Weeks,3335
Cardiology Service,Ethnicity,J: Pakistani,Over 52 Weeks,145
Cardiology Service,Ethnicity,J: Pakistani,Total,8455
Cardiology Service,Ethnicity,K: Bangladeshi,01 To 18 Weeks,1995
Cardiology Service,Ethnicity,K: Bangladeshi,18 To 52 Weeks,1070
Cardiology Service,Ethnicity,K: Bangladeshi,Over 52 Weeks,35
Cardiology Service,Ethnicity,K: Bangladeshi,Total,3105
Cardiology Service,Ethnicity,L: Any other Asian background,Unknown Clock Start,*
Cardiology Service,Ethnicity,L: Any other Asian background,01 To 18 Weeks,5125
Cardiology Service,Ethnicity,L: Any other Asian background,18 To 52 Weeks,3270
Cardiology Service,Ethnicity,L: Any other Asian background,Over 52 Weeks,185
Cardiology Service,Ethnicity,L: Any other Asian background,Total,8585
Cardiology Service,Ethnicity,M: Caribbean,01 To 18 Weeks,2740
Cardiology Service,Ethnicity,M: Caribbean,18 To 52 Weeks,1890
Cardiology Service,Ethnicity,M: Caribbean,Over 52 Weeks,130
Cardiology Service,Ethnicity,M: Caribbean,Total,4760
Cardiology Service,Ethnicity,N: African,Unknown Clock Start,*
Cardiology Service,Ethnicity,N: African,01 To 18 Weeks,4070
Cardiology Service,Ethnicity,N: African,18 To 52 Weeks,2775
Cardiology Service,Ethnicity,N: African,Over 52 Weeks,140
Cardiology Service,Ethnicity,N: African,Total,6985
Cardiology Service,Ethnicity,P: Any other Black background,Unknown Clock Start,*
Cardiology Service,Ethnicity,P: Any other Black background,01 To 18 Weeks,1940
Cardiology Service,Ethnicity,P: Any other Black background,18 To 52 Weeks,1335
Cardiology Service,Ethnicity,P: Any other Black background,Over 52 Weeks,65
Cardiology Service,Ethnicity,P: Any other Black background,Total,3340
Cardiology Service,Ethnicity,R: Chinese,01 To 18 Weeks,880
Cardiology Service,Ethnicity,R: Chinese,18 To 52 Weeks,550
Cardiology Service,Ethnicity,R: Chinese,Over 52 Weeks,30
Cardiology Service,Ethnicity,R: Chinese,Total,1460
Cardiology Service,Ethnicity,S: Any other ethnic group,Unknown Clock Start,*
Cardiology Service,Ethnicity,S: Any other ethnic group,01 To 18 Weeks,2420
Cardiology Service,Ethnicity,S: Any other ethnic group,18 To 52 Weeks,1650
Cardiology Service,Ethnicity,S: Any other ethnic group,Over 52 Weeks,70
Cardiology Service,Ethnicity,S: Any other ethnic group,Total,4145
Cardiology Service,Ethnicity,Z: Not stated,Unknown Clock Start,10
Cardiology Service,Ethnicity,Z: Not stated,01 To 18 Weeks,9690
Cardiology Service,Ethnicity,Z: Not stated,18 To 52 Weeks,5865
Cardiology Service,Ethnicity,Z: Not stated,Over 52 Weeks,290
Cardiology Service,Ethnicity,Z: Not stated,Total,15860
Cardiology Service,IMD,1,Unknown Clock Start,*
Cardiology Service,IMD,1,01 To 18 Weeks,20810
Cardiology Service,IMD,1,18 To 52 Weeks,13060
Cardiology Service,IMD,1,Over 52 Weeks,705
Cardiology Service,IMD,1,Total,34575
Cardiology Service,IMD,10,Unknown Clock Start,30
Cardiology Service,IMD,10,01 To 18 Weeks,23145
Cardiology Service,IMD,10,18 To 52 Weeks,14035
Cardiology Service,IMD,10,Over 52 Weeks,660
Cardiology Service,IMD,10,Total,37870
Cardiology Service,IMD,2,Unknown Clock Start,10
Cardiology Service,IMD,2,01 To 18 Weeks,22100
Cardiology Service,IMD,2,18 To 52 Weeks,13690
Cardiology Service,IMD,2,Over 52 Weeks,750
Cardiology Service,IMD,2,Total,36550
Cardiology Service,IMD,3,Unknown Clock Start,10
Cardiology Service,IMD,3,01 To 18 Weeks,22925
Cardiology Service,IMD,3,18 To 52 Weeks,14385
Cardiology Service,IMD,3,Over 52 Weeks,785
Cardiology Service,IMD,3,Total,38105
Cardiology Service,IMD,4,Unknown Clock Start,20
Cardiology Service,IMD,4,01 To 18 Weeks,24015
Cardiology Service,IMD,4,18 To 52 Weeks,15000
Cardiology Service,IMD,4,Over 52 Weeks,810
Cardiology Service,IMD,4,Total,39845
Cardiology Service,IMD,5,Unknown Clock Start,15
Cardiology Service,IMD,5,01 To 18 Weeks,24350
Cardiology Service,IMD,5,18 To 52 Weeks,15145
Cardiology Service,IMD,5,Over 52 Weeks,865
Cardiology Service,IMD,5,Total,40375
Cardiology Service,IMD,6,Unknown Clock Start,10
Cardiology Service,IMD,6,01 To 18 Weeks,24695
Cardiology Service,IMD,6,18 To 52 Weeks,15180
Cardiology Service,IMD,6,Over 52 Weeks,790
Cardiology Service,IMD,6,Total,40675
Cardiology Service,IMD,7,Unknown Clock Start,20
Cardiology Service,IMD,7,01 To 18 Weeks,24255
Cardiology Service,IMD,7,18 To 52 Weeks,14775
Cardiology Service,IMD,7,Over 52 Weeks,810
Cardiology Service,IMD,7,Total,39860
Cardiology Service,IMD,8,Unknown Clock Start,15
Cardiology Service,IMD,8,01 To 18 Weeks,23830
Cardiology Service,IMD,8,18 To 52 Weeks,14700
Cardiology Service,IMD,8,Over 52 Weeks,745
Cardiology Service,IMD,8,Total,39295
Cardiology Service,IMD,9,Unknown Clock Start,30
Cardiology Service,IMD,9,01 To 18 Weeks,23755
Cardiology Service,IMD,9,18 To 52 Weeks,14615
Cardiology Service,IMD,9,Over 52 Weeks,740
Cardiology Service,IMD,9,Total,39140
Cardiology Service,Sex,Female,Unknown Clock Start,85
Cardiology Service,Sex,Female,01 To 18 Weeks,107530
Cardiology Service,Sex,Female,18 To 52 Weeks,68870
Cardiology Service,Sex,Female,Over 52 Weeks,3770
Cardiology Service,Sex,Female,Total,180250
Cardiology Service,Sex,Male,Unknown Clock Start,75
Cardiology Service,Sex,Male,01 To 18 Weeks,117175
Cardiology Service,Sex,Male,18 To 52 Weeks,69805
Cardiology Service,Sex,Male,Over 52 Weeks,3525
Cardiology Service,Sex,Male,Total,190580
Cardiothoracic Surgery Service,Age,0-18 Years,Unknown Clock Start,*
Cardiothoracic Surgery Service,Age,0-18 Years,01 To 18 Weeks,255
Cardiothoracic Surgery Service,Age,0-18 Years,18 To 52 Weeks,145
Cardiothoracic Surgery Service,Age,0-18 Years,Over 52 Weeks,*
Cardiothoracic Surgery Service,Age,0-18 Years,Total,405
Cardiothoracic Surgery Service,Age,19-64 Years,Unknown Clock Start,10
Cardiothoracic Surgery Service,Age,19-64 Years,01 To 18 Weeks,4225
Cardiothoracic Surgery Service,Age,19-64 Years,18 To 52 Weeks,1945
Cardiothoracic Surgery Service,Age,19-64 Years,Over 52 Weeks,105
Cardiothoracic Surgery Service,Age,19-64 Years,Total,6285
Cardiothoracic Surgery Service,Age,Over 65 Years,Unknown Clock Start,*
Cardiothoracic Surgery Service,Age,Over 65 Years,01 To 18 Weeks,5445
Cardiothoracic Surgery Service,Age,Over 65 Years,18 To 52 Weeks,2325
Cardiothoracic Surgery Service,Age,Over 65 Years,Over 52 Weeks,150
Cardiothoracic Surgery Service,Age,Over 65 Years,Total,7925
Cardiothoracic Surgery Service,Ethnicity,99: Not known,01 To 18 Weeks,235
Cardiothoracic Surgery Service,Ethnicity,99: Not known,18 To 52 Weeks,80
Cardiothoracic Surgery Service,Ethnicity,99: Not known,Over 52 Weeks,*
Cardiothoracic Surgery Service,Ethnicity,99: Not known,Total,315
Cardiothoracic Surgery Service,Ethnicity,A: British,Unknown Clock Start,15
Cardiothoracic Surgery Service,Ethnicity,A: British,01 To 18 Weeks,7560
Cardiothoracic Surgery Service,Ethnicity,A: British,18 To 52 Weeks,3375
Cardiothoracic Surgery Service,Ethnicity,A: British,Over 52 Weeks,210
Cardiothoracic Surgery Service,Ethnicity,A: British,Total,11160
Cardiothoracic Surgery Service,Ethnicity,B: Irish,01 To 18 Weeks,60
Cardiothoracic Surgery Service,Ethnicity,B: Irish,18 To 52 Weeks,30
Cardiothoracic Surgery Service,Ethnicity,B: Irish,Total,90
Cardiothoracic Surgery Service,Ethnicity,C: Any other white background,01 To 18 Weeks,540
Cardiothoracic Surgery Service,Ethnicity,C: Any other white background,18 To 52 Weeks,275
Cardiothoracic Surgery Service,Ethnicity,C: Any other white background,Over 52 Weeks,10
Cardiothoracic Surgery Service,Ethnicity,C: Any other white background,Total,825
Cardiothoracic Surgery Service,Ethnicity,D: White and Black Caribbean,01 To 18 Weeks,20
Cardiothoracic Surgery Service,Ethnicity,D: White and Black Caribbean,18 To 52 Weeks,*
Cardiothoracic Surgery Service,Ethnicity,D: White and Black Caribbean,Total,25
Cardiothoracic Surgery Service,Ethnicity,E: White and Black African,01 To 18 Weeks,10
Cardiothoracic Surgery Service,Ethnicity,E: White and Black African,18 To 52 Weeks,*
Cardiothoracic Surgery Service,Ethnicity,E: White and Black African,Total,15
Cardiothoracic Surgery Service,Ethnicity,F: White and Asian,01 To 18 Weeks,20
Cardiothoracic Surgery Service,Ethnicity,F: White and Asian,18 To 52 Weeks,10
Cardiothoracic Surgery Service,Ethnicity,F: White and Asian,Total,30
Cardiothoracic Surgery Service,Ethnicity,G: Any other mixed background,01 To 18 Weeks,35
Cardiothoracic Surgery Service,Ethnicity,G: Any other mixed background,18 To 52 Weeks,20
Cardiothoracic Surgery Service,Ethnicity,G: Any other mixed background,Over 52 Weeks,*
Cardiothoracic Surgery Service,Ethnicity,G: Any other mixed background,Total,60
Cardiothoracic Surgery Service,Ethnicity,H: Indian,01 To 18 Weeks,255
Cardiothoracic Surgery Service,Ethnicity,H: Indian,18 To 52 Weeks,110
Cardiothoracic Surgery Service,Ethnicity,H: Indian,Over 52 Weeks,10
Cardiothoracic Surgery Service,Ethnicity,H: Indian,Total,380
Cardiothoracic Surgery Service,Ethnicity,J: Pakistani,Unknown Clock Start,*
Cardiothoracic Surgery Service,Ethnicity,J: Pakistani,01 To 18 Weeks,150
Cardiothoracic Surgery Service,Ethnicity,J: Pakistani,18 To 52 Weeks,80
Cardiothoracic Surgery Service,Ethnicity,J: Pakistani,Over 52 Weeks,*
Cardiothoracic Surgery Service,Ethnicity,J: Pakistani,Total,230
Cardiothoracic Surgery Service,Ethnicity,K: Bangladeshi,01 To 18 Weeks,75
Cardiothoracic Surgery Service,Ethnicity,K: Bangladeshi,18 To 52 Weeks,30
Cardiothoracic Surgery Service,Ethnicity,K: Bangladeshi,Over 52 Weeks,*
Cardiothoracic Surgery Service,Ethnicity,K: Bangladeshi,Total,110
Cardiothoracic Surgery Service,Ethnicity,L: Any other Asian background,01 To 18 Weeks,200
Cardiothoracic Surgery Service,Ethnicity,L: Any other Asian background,18 To 52 Weeks,90
Cardiothoracic Surgery Service,Ethnicity,L: Any other Asian background,Over 52 Weeks,*
Cardiothoracic Surgery Service,Ethnicity,L: Any other Asian background,Total,295
Cardiothoracic Surgery Service,Ethnicity,M: Caribbean,01 To 18 Weeks,90
Cardiothoracic Surgery Service,Ethnicity,M: Caribbean,18 To 52 Weeks,35
Cardiothoracic Surgery Service,Ethnicity,M: Caribbean,Over 52 Weeks,*
Cardiothoracic Surgery Service,Ethnicity,M: Caribbean,Total,125
Cardiothoracic Surgery Service,Ethnicity,N: African,01 To 18 Weeks,110
Cardiothoracic Surgery Service,Ethnicity,N: African,18 To 52 Weeks,65
Cardiothoracic Surgery Service,Ethnicity,N: African,Over 52 Weeks,*
Cardiothoracic Surgery Service,Ethnicity,N: African,Total,180
Cardiothoracic Surgery Service,Ethnicity,P: Any other Black background,01 To 18 Weeks,75
Cardiothoracic Surgery Service,Ethnicity,P: Any other Black background,18 To 52 Weeks,35
Cardiothoracic Surgery Service,Ethnicity,P: Any other Black background,Over 52 Weeks,*
Cardiothoracic Surgery Service,Ethnicity,P: Any other Black background,Total,115
Cardiothoracic Surgery Service,Ethnicity,R: Chinese,01 To 18 Weeks,65
Cardiothoracic Surgery Service,Ethnicity,R: Chinese,18 To 52 Weeks,15
Cardiothoracic Surgery Service,Ethnicity,R: Chinese,Over 52 Weeks,*
Cardiothoracic Surgery Service,Ethnicity,R: Chinese,Total,80
Cardiothoracic Surgery Service,Ethnicity,S: Any other ethnic group,01 To 18 Weeks,95
