Week Ending Date,Metric,Category,Waiting Bands,Count
2021-09-19T00:00:00.000Z,Age,0-18 Years,Unknown Clock Start,795
2021-09-19T00:00:00.000Z,Age,0-18 Years,01 To 18 Weeks,389905
2021-09-19T00:00:00.000Z,Age,0-18 Years,18 To 52 Weeks,161425
2021-09-19T00:00:00.000Z,Age,0-18 Years,Over 52 Weeks,26650
2021-09-19T00:00:00.000Z,Age,0-18 Years,Total,578775
2021-09-19T00:00:00.000Z,Age,19-64 Years,Unknown Clock Start,7805
2021-09-19T00:00:00.000Z,Age,19-64 Years,01 To 18 Weeks,1810570
2021-09-19T00:00:00.000Z,Age,19-64 Years,18 To 52 Weeks,912125
2021-09-19T00:00:00.000Z,Age,19-64 Years,Over 52 Weeks,168610
2021-09-19T00:00:00.000Z,Age,19-64 Years,Total,2899110
2021-09-19T00:00:00.000Z,Age,Over 65 Years,Unknown Clock Start,4225
2021-09-19T00:00:00.000Z,Age,Over 65 Years,01 To 18 Weeks,1175730
2021-09-19T00:00:00.000Z,Age,Over 65 Years,18 To 52 Weeks,484950
2021-09-19T00:00:00.000Z,Age,Over 65 Years,Over 52 Weeks,91890
2021-09-19T00:00:00.000Z,Age,Over 65 Years,Total,1756795
2021-09-19T00:00:00.000Z,Sex,Female,Unknown Clock Start,7520
2021-09-19T00:00:00.000Z,Sex,Female,01 To 18 Weeks,1867690
2021-09-19T00:00:00.000Z,Sex,Female,18 To 52 Weeks,853555
2021-09-19T00:00:00.000Z,Sex,Female,Over 52 Weeks,150655
2021-09-19T00:00:00.000Z,Sex,Female,Total,2879420
2021-09-19T00:00:00.000Z,Sex,Male,Unknown Clock Start,5235
2021-09-19T00:00:00.000Z,Sex,Male,01 To 18 Weeks,1432915
2021-09-19T00:00:00.000Z,Sex,Male,18 To 52 Weeks,652590
2021-09-19T00:00:00.000Z,Sex,Male,Over 52 Weeks,128335
2021-09-19T00:00:00.000Z,Sex,Male,Total,2219075
2021-09-26T00:00:00.000Z,Age,0-18 Years,Unknown Clock Start,760
2021-09-26T00:00:00.000Z,Age,0-18 Years,01 To 18 Weeks,397145
2021-09-26T00:00:00.000Z,Age,0-18 Years,18 To 52 Weeks,169380
2021-09-26T00:00:00.000Z,Age,0-18 Years,Over 52 Weeks,27775
2021-09-26T00:00:00.000Z,Age,0-18 Years,Total,595055
2021-09-26T00:00:00.000Z,Age,19-64 Years,Unknown Clock Start,7935
2021-09-26T00:00:00.000Z,Age,19-64 Years,01 To 18 Weeks,1855780
